,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
470,470,108,Oakland_11042014_CityAuditor.csv,1,1,,1,3,2,LOCAL,NO,O,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS,0,0.443535773,0.443535773,0.443535773,0,4.417322394,0,[],no,
471,471,109,Oakland_11042014_SchoolDirectorDistrict2.csv,1,1,,1,3,2,LOCAL,NO,B,AIMEE ENG,AIMEE ENG,AIMEE ENG,AIMEE ENG,WILLIAM ''BO'' GHIRARDELLI,0,0.443535773,0.556464227,0.556464227,0,4.674333154,0,[],no,
472,472,110,Oakland_11042014_SchoolDirectorDistrict6.csv,1,1,,1,3,2,LOCAL,NO,B,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,0,0.443535773,0.443535773,0.443535773,0,4.552725491,0,[],no,
473,473,111,Oakland_11052024_CityAttorney.csv,1,1,,1,5,2,LOCAL,NO,R,RYAN RICHARDSON,RYAN RICHARDSON,RYAN RICHARDSON,RYAN RICHARDSON,BRENDA HARBIN-FORTE,0,0.443535773,0.556464227,0.556464227,,4.899487801,,,,
474,474,112,Oakland_11052024_School_Director_D1.csv,1,1,,1,5,2,LOCAL,NO,B,RACHEL LATTA,RACHEL LATTA,RACHEL LATTA,RACHEL LATTA,BENJAMIN SALOP,0,0.443535773,0.556464227,0.556464227,,4.974135899,,,,
475,475,113,Oakland_11052024_School_Director_D3.csv,1,1,,1,5,2,LOCAL,NO,B,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,0,0.443535773,0.443535773,0.443535773,,4.927221718,,,,
476,476,114,Oakland_11052024_School_Director_D5.csv,1,1,,1,5,2,LOCAL,NO,B,PATRICE BERRY,PATRICE BERRY,PATRICE BERRY,PATRICE BERRY,SASHA RITZIE-HERNANDEZ,0,0.443535773,0.556464227,0.556464227,,4.449342647,,,,
477,477,115,Oakland_11052024_School_Director_D7.csv,1,1,,1,5,2,LOCAL,NO,B,CLIFFORD THOMPSON,CLIFFORD THOMPSON,CLIFFORD THOMPSON,CLIFFORD THOMPSON,DOMONIC WARE,0,0.443535773,0.556464227,0.556464227,,4.219482644,,,,
478,478,116,Oakland_11062012_CityAttorney.csv,1,1,,1,3,2,LOCAL,NO,O,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,BARBARA PARKER,0,0.443535773,0.443535773,0.443535773,0,4.70700665,0,[],no,
479,479,117,Oakland_11062012_SchoolDirectorDistrict1.csv,1,1,,1,3,2,LOCAL,NO,B,JODY LONDON,JODY LONDON,JODY LONDON,JODY LONDON,JODY LONDON,0,0.443535773,0.443535773,0.443535773,0,4.945158576,0,[],no,
480,480,118,Oakland_11062012_SchoolDirectorDistrict5.csv,1,1,,1,3,2,LOCAL,NO,B,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES,0,0.443535773,0.443535773,0.443535773,0,4.718434909,0,[],no,
481,481,119,Oakland_11062012_SchoolDirectorDistrict7.csv,1,1,,1,3,2,LOCAL,NO,B,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,0,0.443535773,0.443535773,0.443535773,0,4.601273686,0,[],no,
482,482,120,Oakland_11062018_CityAuditor.csv,1,1,,1,3,2,LOCAL,NO,O,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,COURTNEY RUBY,BRENDA ROBERTS,0,0.443535773,0.556464227,0.556464227,0,4.903196303,0,[],no,
483,483,121,Oakland_11062018_SchoolDirectorDistrict4.csv,1,1,,1,3,2,LOCAL,NO,B,GARY D. YEE,GARY D. YEE,GARY D. YEE,GARY D. YEE,CLARISSA DOUTHERD,0,0.443535773,0.556464227,0.556464227,0,5.177157955,0,[],no,
484,484,122,Oakland_11062018_SchoolDirectorDistrict6.csv,1,1,,1,3,2,LOCAL,NO,B,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,SHANTHI GONZALES,0,0.443535773,0.443535773,0.443535773,0,43.00793512,0,[],no,
485,485,123,Oakland_11082016_CityCouncilDistrict1.csv,1,1,,1,3,2,LOCAL,NO,R,DAN KALB,DAN KALB,DAN KALB,DAN KALB,DAN KALB,0,0.443535773,0.443535773,0.443535773,0,5.269175444,0,[],no,
486,486,124,Oakland_11082016_CityCouncilDistrict3.csv,1,1,,1,3,2,LOCAL,NO,R,LYNETTE GIBSON MCELHANEY,LYNETTE GIBSON MCELHANEY,LYNETTE GIBSON MCELHANEY,NONI D. SESSION,NONI D. SESSION,0,0.443535773,0.556464227,0.556464227,0,4.729930976,0,[],no,
487,487,125,Oakland_11082016_CityCouncilDistrict5.csv,1,1,,1,3,2,LOCAL,NO,R,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,0,0.443535773,0.443535773,0.443535773,0,4.805629066,0,[],no,
488,488,126,Oakland_11082016_SchoolDirectorDistrict1.csv,1,1,,1,3,2,LOCAL,NO,B,JODY LONDON,JODY LONDON,JODY LONDON,JODY LONDON,JODY LONDON,0,0.443535773,0.443535773,0.443535773,0,5.52770358,0,[],no,
489,489,127,Oakland_11082016_SchoolDirectorDistrict7.csv,1,1,,1,3,2,LOCAL,NO,B,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS,0,0.443535773,0.443535773,0.443535773,0,4.650481304,0,[],no,
490,490,128,Oakland_11082022_CityCouncilmemberDistrict4.csv,1,1,,1,5,2,LOCAL,NO,R,JANANI RAMACHANDRAN,JANANI RAMACHANDRAN,JANANI RAMACHANDRAN,JANANI RAMACHANDRAN,NENNA JOINER,0,0.443535773,0.556464227,0.556464227,0,4.556459995,0,[],no,
491,491,129,RedondoBeach_03042025_CityAttorney.csv,1,1,,1,6,2,LOCAL,NO,O,JOY FORD,JOY FORD,JOY FORD,JOY FORD,STEVE COLIN,0,0.443535773,0.556464227,0.556464227,,4.660448234,,,,
492,492,130,RedondoBeach_03042025_CityCouncilD2.csv,1,1,,1,6,2,LOCAL,NO,R,CHADWICK CASTLE,CHADWICK CASTLE,CHADWICK CASTLE,CHADWICK CASTLE,LOUIS BURKE,0,0.443535773,0.556464227,0.556464227,,4.714917434,,,,
493,493,131,RedondoBeach_03042025_CityCouncilD4.csv,1,1,,1,6,2,LOCAL,NO,R,ZEIN OBAGI JR,ZEIN OBAGI JR,ZEIN OBAGI JR,ZEIN OBAGI JR,ZEIN OBAGI JR,0,0.443535773,0.443535773,0.443535773,,4.858939584,,,,
494,494,132,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT9.csv,1,1,,1,3,2,LOCAL,NO,B,HILLARY RONEN,HILLARY RONEN,HILLARY RONEN,HILLARY RONEN,HILLARY RONEN,0,0.443535773,0.443535773,0.443535773,0,215.0360793,0,[],no,
495,495,133,SanFrancisco_11052024_CityAttorney.csv,1,1,,1,3,2,LOCAL,NO,O,DAVID CHIU,DAVID CHIU,DAVID CHIU,DAVID CHIU,DAVID CHIU,0,0.443535773,0.443535773,0.443535773,,5.761087356,,,,
496,496,134,SanFrancisco_11052024_DistrictAttorney.csv,1,1,,1,3,2,LOCAL,NO,O,BROOKE JENKINS,BROOKE JENKINS,BROOKE JENKINS,BROOKE JENKINS,BROOKE JENKINS,0,0.443535773,0.443535773,0.443535773,,5.995903469,,,,
497,497,135,SanFrancisco_11052024_Sheriff.csv,1,1,,1,3,2,LOCAL,NO,O,PAUL MIYAMOTO,PAUL MIYAMOTO,PAUL MIYAMOTO,PAUL MIYAMOTO,PAUL MIYAMOTO,0,0.443535773,0.443535773,0.443535773,,5.506922048,,,,
498,498,136,SanFrancisco_11062018_AssessorRecorder.csv,1,1,,1,3,2,LOCAL,NO,O,CARMEN CHU,CARMEN CHU,CARMEN CHU,CARMEN CHU,CARMEN CHU,0,0.443535773,0.443535773,0.443535773,0,5.082417372,0,[],no,
499,499,137,SanFrancisco_11062018_BoardofSupervisorsDistrict8.csv,1,1,,1,3,2,LOCAL,NO,B,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE,0,0.443535773,0.556464227,0.556464227,0,5.037333631,0,[],no,
500,500,138,SanFrancisco_11072006_BoardofSupervisorsDistrict2.csv,1,1,,1,3,2,LOCAL,NO,B,Michela Alioto-pier,Michela Alioto-pier,Michela Alioto-pier,Michela Alioto-pier,Vilma Guinto Peoro,0,0.443535773,0.556464227,0.556464227,0,6.521369618,0,[],no,
501,501,139,SanFrancisco_11082016_BoardofSupervisorsDistrict3.csv,1,1,,1,3,2,LOCAL,NO,B,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,TIM E. DONNELLY,0,0.443535773,0.556464227,0.556464227,0,5.139249891,0,[],no,
502,502,140,SanFrancisco_11082016_BoardofSupervisorsDistrict5.csv,1,1,,1,3,2,LOCAL,NO,B,LONDON BREED,LONDON BREED,LONDON BREED,LONDON BREED,LONDON BREED,0,0.443535773,0.443535773,0.443535773,0,4.849450526,0,[],no,
503,503,141,SanFrancisco_11082022_BoardofSupervisorsD10.csv,1,1,,1,3,2,LOCAL,NO,B,SHAMANN WALTON,SHAMANN WALTON,SHAMANN WALTON,SHAMANN WALTON,BRIAN SAM ADAM,0,0.443535773,0.556464227,0.556464227,0,4.628616407,0,[],no,
504,504,142,SanFrancisco_11082022_BoardofSupervisorsD4.csv,1,1,,1,3,2,LOCAL,NO,B,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO,GORDON MAR,0,0.443535773,0.556464227,0.556464227,0,5.27865108,0,[],no,
505,505,143,SanFrancisco_11082022_BoardofSupervisorsD8.csv,1,1,,1,3,2,LOCAL,NO,B,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN,KATE STOIA,0,0.443535773,0.556464227,0.556464227,0,4.980186319,0,[],no,
506,506,144,SanFrancisco_11082022_PublicDefender.csv,1,1,,1,3,2,LOCAL,NO,O,MANO RAJU,MANO RAJU,MANO RAJU,MANO RAJU,REBECCA SUSAN FENG YOUNG,0,0.443535773,0.556464227,0.556464227,0,4.719073119,0,[],no,
507,507,145,SanLeandro_11022010_CountyCouncilDistrict5.csv,1,1,,1,3,2,LOCAL,NO,R,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,0,0.443535773,0.443535773,0.443535773,0,4.372769254,0,[],no,
508,508,146,SanLeandro_11032020_MemberCityCouncilDist2SanLeandroRCV.csv,1,1,,1,5,2,LOCAL,NO,R,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO,ED HERNANDEZ,0,0.443535773,0.556464227,0.556464227,0,4.047738311,0,[],no,
509,509,147,SanLeandro_11032020_MemberCityCouncilDist4SanLeandroRCV.csv,1,1,,1,5,2,LOCAL,NO,R,FRED SIMON,FRED SIMON,FRED SIMON,FRED SIMON,CHRISTOPHER BAMMER,0,0.443535773,0.556464227,0.556464227,0,4.107476051,0,[],no,
510,510,148,SanLeandro_11062012_CountyCouncilDistrict6.csv,1,1,,1,3,2,LOCAL,NO,R,JIM PROLA,JIM PROLA,JIM PROLA,JIM PROLA,JIM PROLA,0,0.443535773,0.443535773,0.443535773,0,4.10762285,0,[],no,
511,511,149,SanLeandro_11062018_CountyCouncilDistrict3.csv,1,1,,1,3,2,LOCAL,NO,R,"VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.","VICTOR AGUILAR, JR.",LEE THOMAS,LEE THOMAS,0,0.443535773,0.556464227,0.556464227,0,4.231425637,0,[],no,
512,512,150,SanLeandro_11062018_CountyCouncilDistrict5.csv,1,1,,1,3,2,LOCAL,NO,R,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ,0,0.443535773,0.443535773,0.443535773,0,4.286076266,0,[],no,
513,513,151,SanLeandro_11082016_CountyCouncilDistrict2.csv,1,1,,1,3,2,LOCAL,NO,R,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ,BRYAN AZEVEDO,0,0.443535773,0.556464227,0.556464227,0,4.472526494,0,[],no,
514,514,152,StLouisPark_11022021_CityCouncilWard2.csv,1,1,,1,3,2,LOCAL,NO,R,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,John Basill,0,0.443535773,0.556464227,0.556464227,0,17.07469248,0,[],no,
59,98,383,NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict.csv,0.3322,0.2883,0.36036036,0.77151197,5,5,LOCAL,RP,R,David M. Carr,David M. Carr,Marko Kepi,Marko Kepi,Sam T. Pirozzolo,0.360821199,0.443535773,0.089174638,0.089174638,0,2.90069558,,"['IRV', 'Condorcet']",no,
121,166,335,NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,0.6066,0.4167,0.565138129,0.84187448,5,4,LOCAL,RP,E,Vito Fossella,Vito Fossella,Vito Fossella,Vito Fossella,Leticia M. Remauro,0.437801745,0.443535773,0.556464227,0.556464227,0.24875647,3.653767671,,"['IRV', 'Condorcet']",yes,
459,459,97,NewYorkCity_06222021_REPBoroughPresidentQueens.csv,1,1,,1,3,2,LOCAL,RP,E,219566,219566,219566,219566,,,,,,,,,[],no,
460,460,98,NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,RP,R,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Ariel Rivera-Diaz,Aramis Ocasio,0,0.443535773,0.556464227,0.556464227,0,4.633357488,,[],no,
461,461,99,NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,RP,R,Vickie Paladino,Vickie Paladino,Vickie Paladino,Vickie Paladino,John-Alexander Sakelos,0,0.443535773,0.556464227,0.556464227,0,4.770831024,,[],no,
462,462,100,NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict.csv,1,1,,1,3,2,LOCAL,RP,R,James F. Reilly,James F. Reilly,James F. Reilly,James F. Reilly,Alex Amoroso,0,0.443535773,0.556464227,0.556464227,0,4.671353526,,[],no,
463,463,101,NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,RP,R,Timothy Rosen,Timothy Rosen,Timothy Rosen,Timothy Rosen,Timothy Rosen,0,0.443535773,0.443535773,0.443535773,0,4.644558166,,[],no,
464,464,102,NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict.csv,1,1,,1,3,2,LOCAL,RP,R,Joann Ariola,Joann Ariola,Joann Ariola,Joann Ariola,Stephen A. Sirgiovanni,0,0.443535773,0.556464227,0.556464227,0,5.078208013,,[],no,
465,465,103,NewYorkCity_06222021_REPMayorCitywide.csv,1,1,,1,3,2,LOCAL,RP,E,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,Curtis A. Sliwa,0,0.443535773,0.443535773,0.443535773,0,4.561544022,,[],no,
1,158,456,Alaska_11052024_President.csv,0.0119,0.0125,0.190724234,0.833382548,8,8,FEDERAL,YES,E,Trump/Vance,Trump/Vance,Trump/Vance,Trump/Vance,West/Abdullah,0.494935142,0.443535773,0.443535773,0.443535773,,4.000740324,,,,
39,120,283,Alaska_11082022_HouseDistrict28.csv,0.595404595,0.464335664,0.322248614,0.79952991,5,4,STATE,YES,R,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",0.335932027,0.443535773,0.107603746,0.107603746,0,3.922441238,1,[],no,
78,69,365,Burlington_03072006_Mayor.csv,0.3153,0.2608,0.416466477,0.72074467,5,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Bob Kiss,Bob Kiss,Kevin Curley,0.621347852,0.443535773,0.380548059,0.380548059,0,3.057743795,1,[],no,
85,34,364,Burlington_03032009_Mayor.csv,0.328771229,0.263736264,0.436396396,0.65128207,5,5,LOCAL,YES,E,Bob Kiss,Andy Montroll,Kurt Wright,Andy Montroll,Kurt Wright,0.351594953,0.443535773,0.556464227,0.307213406,0.43145344,3.962759191,1,"['IRV', 'Condorcet', 'Approval']",yes,
90,183,282,Alaska_11082022_HouseDistrict20.csv,0.602897103,0.425574426,0.461481481,0.85363907,5,4,STATE,YES,R,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Kohlhaas, Scott A.",0.320991029,0.443535773,0.443535773,0.443535773,0,6.80416998,1,[],no,
96,271,278,Alaska_11052024_StateHouseD36.csv,0.6194,0.4604,0.483112183,0.906753131,5,4,STATE,YES,R,"Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Schwanke, Rebecca A.","Fields, James",0.621055502,0.443535773,0.443535773,0.443535773,,7.568043878,,,,
100,212,298,Burlington_03052024_Mayor.csv,0.6842,0.3817,0.492491728,0.865615312,5,4,LOCAL,YES,E,EMMA MULVANEY-STANAK,EMMA MULVANEY-STANAK,EMMA MULVANEY-STANAK,EMMA MULVANEY-STANAK,CHRISTOPHER HAESSLY,0.471926813,0.443535773,0.443535773,0.443535773,,7.367383503,,,,
108,226,281,Alaska_11082022_GovernorLieutenantGovernor.csv,0.6054,0.4339,0.538631347,0.88067079,5,4,STATE,YES,E,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Walker/Drygas,0.216023581,0.443535773,0.556464227,0.556464227,0.23858598,6.533573172,1,[],no,
110,133,279,Alaska_11052024_StateHouseD38.csv,0.6163,0.4561,0.547026279,0.80964256,5,4,STATE,YES,R,"Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","Jimmie, Nellie D. ""Unangik""","McCormick, C.J.",0.402842725,0.443535773,0.135145914,0.135145914,,3.410796293,,,,
111,359,155,Alaska_11052024_StateHouseD15.csv,0.8968,0.5102,0.54903537,0.982539683,4,3,STATE,YES,R,"Costello, Mia","Costello, Mia","Costello, Mia","Costello, Mia","Wells, Denny",0.333695153,0.443535773,0.556464227,0.556464227,,6.241841809,,,,
113,238,181,Alaska_11082022_SenateDistrictP.csv,0.8866,0.5348,0.553370787,0.8864556,4,3,STATE,YES,S,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott","Matherly, Jim","Jafre, Alex N.",0.65279966,0.443535773,0.443535773,0.443535773,0.65279967,6.786146581,1,[],no,
115,201,514,Easthampton_11022021_Mayor.csv,0.364593781,0.343931795,0.557059961,0.86026204,4,66,LOCAL,YES,E,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,HOMAR GOMEZ,0.441862045,0.443535773,0.052526667,0.052526667,0,4.253740816,1,[],no,
117,198,285,Alaska_11082022_USRepresentative.csv,0.605205205,0.434434434,0.558953155,0.85950381,5,4,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.287712671,0.443535773,0.556464227,0.556464227,0.31553781,5.738554859,1,[],no,YES
123,278,182,Alaska_11082022_SenateDistrictQ.csv,0.863,0.5347,0.568198395,0.90888804,4,3,STATE,YES,S,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Serkov, Arthur P.",0.529177949,0.443535773,0.443535773,0.443535773,0,7.090674658,1,[],no,YES
125,290,280,Alaska_11052024_US_House.csv,0.5717,0.3621,0.569067296,0.919223552,5,4,FEDERAL,YES,R,"Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Howe, John Wayne",0.374162428,0.443535773,0.443535773,0.443535773,,9.816906948,,,,
128,239,158,Alaska_11052024_StateHouseD40.csv,0.8664,0.6408,0.58110687,0.887471377,4,3,STATE,YES,R,"Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Chase, Saima ""Ikrik""",0.336878159,0.443535773,0.443535773,0.443535773,,4.595229266,,,,
135,170,302,Maine_11062018_CongressionalDistrict2.csv,0.604304304,0.421221221,0.595871785,0.84378713,5,4,FEDERAL,YES,R,"DEM Golden, Jared F.","DEM Golden, Jared F.","REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S.",0.422293116,0.443535773,0.556464227,0.556464227,0.31530905,8.280670662,1,[],no,YES
137,272,284,Alaska_11082022_HouseDistrict35.csv,0.649149149,0.448448448,0.603428571,0.90710747,5,4,STATE,YES,R,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Brown, Kieran C.",0.352101903,0.443535773,0.443535773,0.443535773,0,5.784946367,1,[],no,
144,287,172,Alaska_11082022_HouseDistrict31.csv,0.878921079,0.611288711,0.614607615,0.91760302,4,3,STATE,YES,R,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","LeBon, Barton S.",0.346235794,0.443535773,0.556464227,0.556464227,0.65376419,4.713165454,1,['Approval'],no,YES
146,280,183,Alaska_11082022_SenateDistrictR.csv,0.8813,0.5747,0.617157864,0.91031516,4,3,STATE,YES,S,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click","Verhagen, Elijah M.",0.565371654,0.443535773,0.556464227,0.556464227,0,3.577437397,1,[],no,
148,318,175,Alaska_11082022_HouseDistrict6.csv,0.8851,0.5232,0.621365788,0.94118267,4,3,STATE,YES,R,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Bryant, Ginger",0.664257075,0.443535773,0.443535773,0.443535773,0,8.944497181,1,[],no,YES
150,301,174,Alaska_11082022_HouseDistrict34.csv,0.8937,0.5417,0.623376623,0.9292683,4,3,STATE,YES,R,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","DeMars, Nate",0.659615565,0.443535773,0.556464227,0.556464227,0,7.808101352,1,[],no,
153,356,162,Alaska_11052024_StateSenateL.csv,0.88951049,0.568531469,0.627216793,0.98032502,4,3,STATE,YES,R,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",0.346701759,0.443535773,0.096834014,0.096834014,,3.926803895,,,,
154,341,161,Alaska_11052024_StateSenateF.csv,0.8882,0.5435,0.627577841,0.960321653,4,3,STATE,YES,R,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",0.338585094,0.443535773,0.104950679,0.104950679,,5.654253634,,,,
165,285,173,Alaska_11082022_HouseDistrict32.csv,0.8867,0.5778,0.642762284,0.91522217,4,3,STATE,YES,R,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Givens, Timothy W.",0.329075728,0.443535773,0.443535773,0.443535773,0,6.393779957,1,[],no,YES
170,254,286,Alaska_11082022_USSenator.csv,0.598501499,0.375224775,0.646866325,0.8947562,5,4,FEDERAL,YES,S,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Kelley, Buzz A.",0.35625702,0.443535773,0.328250152,0.328250152,0.41552889,5.682907342,1,[],no,YES
171,237,342,PierceCounty_11042008_CountyExecutiveMember.csv,0.8179,0.6916,0.647410227,0.88586694,3,4,LOCAL,YES,E,Pat McCarthy,Pat McCarthy,Shawn Bunney,Pat McCarthy,Mike Lonergan,0.58643344,0.443535773,0.194291425,0.194291425,0.33718908,4.508070585,1,[],no,
180,324,166,Alaska_11082022_HouseDistrict11.csv,0.889,0.5841,0.66470972,0.94790989,4,3,STATE,YES,R,"Coulombe, Julie","Coulombe, Julie","Featherly, Walter T.","Coulombe, Julie","Coulombe, Julie",0.37393882,0.443535773,0.069596953,0.069596953,0,4.574168719,1,[],no,YES
190,250,252,PierceCounty_11042008_CountyCouncilDistrict2.csv,0.8861,0.5907,0.675177052,0.89207715,3,3,LOCAL,YES,R,Joyce McDonald,Joyce McDonald,Joyce McDonald,Joyce McDonald,Al Rose,0.414573854,0.443535773,0.556464227,0.556464227,0.58542615,4.464475354,1,"['IRV', 'Condorcet', 'Approval']",yes,
198,357,160,Alaska_11052024_StateSenateD.csv,0.8968,0.5552,0.682634731,0.981481481,4,3,STATE,YES,R,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",0.652611365,0.443535773,0.209075591,0.209075591,,3.899295861,,,,
200,295,157,Alaska_11052024_StateHouseD28.csv,0.865434565,0.625974026,0.683678894,0.923106746,4,3,STATE,YES,R,"Moore, Elexie","Moore, Elexie","Moore, Elexie","Menard, Steve","Wright, Jessica",0.661086535,0.443535773,0.443535773,0.443535773,,5.007624372,,,,
204,312,165,Alaska_11082022_HouseDistrict10.csv,0.889,0.5272,0.685466377,0.93600118,4,3,STATE,YES,R,"Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Johnson, Craig W.","Insalaco, Mikel E.",0.549047966,0.443535773,0.556464227,0.556464227,0,7.693582232,1,[],no,
206,320,168,Alaska_11082022_HouseDistrict18.csv,0.8833,0.6037,0.685714286,0.94289762,4,3,STATE,YES,R,"Groh, Cliff","Groh, Cliff","Nelson, David","Groh, Cliff","Groh, Cliff",0.632248177,0.443535773,0.188712404,0.188712404,0,4.617071688,1,[],no,YES
215,216,180,Alaska_11082022_SenateDistrictN.csv,0.8732,0.6391,0.692513369,0.87059641,4,3,STATE,YES,S,"Wilson, David S.","Wilson, David S.","Wilson, David S.","Wilson, David S.","Wright, Stephen",0.475988378,0.443535773,0.443535773,0.443535773,0.47598839,3.436506662,1,['Approval'],no,
226,335,164,Alaska_11052024_StateSenateR.csv,0.882682683,0.523423423,0.699253466,0.953318987,4,3,STATE,YES,R,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Williams, Robert ""Bert""",0.344304073,0.443535773,0.556464227,0.556464227,,8.185609171,,,,
228,150,419,PierceCounty_11042008_CountyAssessorTreasurer.csv,0.7571,0.6826,0.70146771,0.82307887,3,6,LOCAL,YES,O,Dale Washam,Dale Washam,Dale Washam,Dale Washam,Barbara Gelman,0.487849603,0.443535773,0.556464227,0.556464227,0.38094729,3.221305632,1,"['IRV', 'Condorcet', 'Approval']",no,
229,303,163,Alaska_11052024_StateSenateN.csv,0.879,0.5862,0.702465753,0.929512559,4,3,STATE,YES,R,"Yundt, Robert","Yundt, Robert","Yundt, Robert","Yundt, Robert","Wilson, David S.",0.349513213,0.443535773,0.556464227,0.556464227,,4.987282451,,,,
